card name,image prompt
"From Vision to Radiance | Sagittarius → Leo | Fire to Fire","Expansive archer's arrow transforming into a golden sun crown, hips and thighs flowing into heart chakra light, deep purple sagittarius constellation fading into bright leo solar rays, philosophical scrolls igniting into playful creative flames"

"From Heart to Mind | Leo → Aquarius | Fire to Air","Radiant heart center with golden light rising and dispersing into crystalline thought networks, creative passion becoming electric innovation, leo sun dissolving into aquarius lightning, solar plexus fire becoming nervous system signals"

"From Bone to Heart | Leo → Capricorn | Fire to Earth","Creative flames condensing into mountain structure, heart fire cooling into skeletal foundation, leo mane transforming into capricorn horns, radiant warmth becoming enduring architecture, knees grounding the solar blaze"

"From Fire to Depth | Aries → Scorpio | Fire to Water","Impulsive spark plunging into dark transformative waters, ram's head diving into scorpion depths, bright red aries fire quenched into deep scorpio mystery, brain lightning dissolving into reproductive regeneration"

"From Balance to Courage | Libra → Aries | Air to Fire","Scales tipping and igniting into warrior's first step, partnership harmony erupting into solo initiation, kidney balance sparking into brain fire, air breathing life into brave flame, cooperation becoming decisive action"

"From Voice to Womb | Gemini → Cancer | Air to Water","Quicksilver words softening into maternal embrace, throat communication flowing down into belly nurturing, twin messenger energy pooling into protective shell, lungs and arms cradling the heart-home"

"From Bone to Radiance | Capricorn → Leo | Earth to Fire","Mountain structure cracking open with solar light, skeletal discipline fueling creative heart fire, capricorn peak becoming leo stage, knees rising to chest in triumphant expression, winter earth meeting summer blaze"

"From Structure to Service | Capricorn → Virgo | Earth to Earth","Stone temple refining into healing hands, ambitious architecture becoming practical craft, bones softening into gut wisdom, mountain goat descending to harvest maiden, legacy crystallizing into daily devotion"

"From Root to Vision | Taurus → Sagittarius | Earth to Fire","Deep earth roots erupting into expansive journey, throat voice shouting into horizon quest, bull stability leaping into centaur adventure, sensual grounding igniting philosophical fire, neck releasing into hips"

"From Gut to Soul | Virgo → Pisces | Earth to Water","Precise craft dissolving into mystical ocean, analytical hands opening to universal flow, intestinal discernment melting into etheric oneness, harvest maiden wading into infinite waters, service becoming transcendence"

"From Mind to Gut | Aquarius → Virgo | Air to Earth","Electric thought networks grounding into practical service, nervous system calming into digestive wisdom, innovation condensing into craft, water-bearer pouring into harvest preparation, clarity becoming embodied care"

"From Depth to Root | Scorpio → Taurus | Water to Earth","Hidden waters rising to fertile earth voice, transformation solidifying into stable expression, scorpion sting softening into bull's song, reproductive depths finding throat, intensity becoming sensual presence"

"From Womb to Bone | Cancer → Capricorn | Water to Earth","Maternal waters crystallizing into legacy structure, emotional tides becoming mountain stability, protective shell hardening into enduring foundation, stomach nurturing rising to skeletal mastery, home becoming monument"

"From Unity to Balance | Pisces → Libra | Water to Air","Mystical oceanic oneness evaporating into partnership clarity, feet dissolving boundaries then finding relational ground, infinite compassion articulating as fair agreement, dream state becoming conscious negotiation"

"From Home to Horizon | Cancer → Sagittarius | Water to Fire","Emotional nest expanding into philosophical journey, womb security erupting into wild exploration, protective care becoming adventurous wisdom, stomach feelings igniting in hips, safety transformed to courage"

"From Balance to Fire | Libra → Aries | Air to Fire","Diplomatic scales tipping into warrior's charge, partnership breath fanning into independent spark, kidney equilibrium igniting brain initiative, measured thought becoming impulsive action, we becoming I"

"From Voice to Home | Gemini → Cancer | Air to Water","Quick exchanges settling into emotional sanctuary, messenger's curiosity nesting in care, lungs and arms embracing stomach safety, ideas softening into empathy, communication becoming nurturing presence"

"From Courage to Depth | Aries → Scorpio | Fire to Water","Bold initiation plunging into shadow work, warrior's spark quenched in transformative pool, head fire diving to reproductive mystery, independent action becoming shared intimacy, impulse meeting devotion"

"From Depth to Stability | Scorpio → Taurus | Water to Earth","Transformative waters channeling into grounded voice, psychological intensity finding sensual form, reproductive power manifesting as throat truth, scorpion transformation becoming bull's steady song"

"From Stability to Vision | Taurus → Sagittarius | Earth to Fire","Rooted values launching into expansive philosophy, throat stability erupting into hip freedom, bull's patience becoming centaur's adventure, sensory wisdom igniting belief, earth anchor releasing to fire"

"From Soul to Balance | Pisces → Libra | Water to Air","Boundless mysticism articulating as harmonious relationship, etheric feet finding relational ground, oceanic unity distilling into partnership clarity, compassion becoming fair exchange"

"From Courage to Fire | Aries → Scorpio | Fire to Water","Independent spark submerging into intimate transformation, warrior energy channeling into psychological depths, head lightning descending to reproductive regeneration, action becoming devotion"
