card_number,image_name,revised_image_prompt,expected_deploy_path
16,workbook_05_soul_to_balance_1,"Abstract mixed-media collage of aged parchment, wax seal fragments, lunar diagrams, torn vellum, and soft gold leaf accents arranged in a quiet archival composition with warm shadows","/assets/images/workbook_05_soul_to_balance_1.png"
25,workbook_19_depth_rooting_in_earth_1,"Abstract mixed-media collage of dark soil textures, cracked earth, torn paper layers, charcoal smudges, and subtle geometric ink markings in a moody archival layout","/assets/images/workbook_19_depth_rooting_in_earth_1.png"
35,workbook_10_vision_to_voice_1,"Abstract editorial collage of celestial chart fragments, handwritten notes, feather textures, translucent vellum, and pale ink washes suggesting thought becoming language","/assets/images/workbook_10_vision_to_voice_1.png"
47,workbook_13_heart_expanding_to_mind_2,"Monochrome mixed-media collage of circular seals, ledger paper, faint nervous-system style linework, smoky graphite shading, and luminous negative space in a dark academic aesthetic","/assets/images/workbook_13_heart_expanding_to_mind_2.png"
57,workbook_03_root_to_vision_1,"Abstract collage of botanical sketches, map fragments, compass geometry, dry earth textures, and sepia paper layers opening into radiant directional lines","/assets/images/workbook_03_root_to_vision_1.png"
67,workbook_11_voice_to_womb_1,"Soft abstract mixed-media composition of folded vellum, pale lunar textures, rib-like linework, gentle shadow gradients, and warm cream paper layers suggesting communication softening into shelter","/assets/images/workbook_11_voice_to_womb_1.png"
70,workbook_09_root_to_vision_1,"Archival collage of antique map scraps, throat-like concentric rings, weathered paper fibers, brass compass motifs, and golden horizon lines in a contemplative editorial layout","/assets/images/workbook_09_root_to_vision_1.png"
72,workbook_02_practices_protocols_1,"Minimal abstract collage of structured paper grids, soft charcoal blocks, ink notations, vellum overlays, and restrained gold accents arranged like a ritual instruction plate","/assets/images/workbook_02_practices_protocols_1.png"
80,workbook_06_balance_to_fire_1,"Monochrome abstract collage of balancing scales reduced into geometric forms, ash textures, torn black paper, silver-gray ink washes, and a small ignition point of warm light","/assets/images/workbook_06_balance_to_fire_1.png"
85,workbook_12_womb_to_bone_1,"Abstract mixed-media collage of fluid watercolor pools crystallizing into skeletal geometric forms, layered with vellum scraps, soft graphite marks, and muted sepia tones","/assets/images/workbook_12_womb_to_bone_1.png"
90,workbook_20_root_expanding_to_vision_1,"Sepia-toned collage of root systems, map margins, antique paper folds, compass roses, and soft beams of light expanding across an editorial archive surface","/assets/images/workbook_20_root_expanding_to_vision_1.png"
95,workbook_01_ignition_to_depth_1,"Abstract mixed-media collage of ember glow, smoke veils, ink diffusion in water, burnt paper edges, and dark layered textures transitioning from spark to shadow","/assets/images/workbook_01_ignition_to_depth_1.png"
99,workbook_18_fire_deepening_to_shadow_1,"Atmospheric collage of charred paper, deep crimson-black ink clouds, ash residue, lunar eclipse textures, and soft obscured geometry in a dark ritual editorial style","/assets/images/workbook_18_fire_deepening_to_shadow_1.png"
9,workbook_17_balance_igniting_to_fire_1,"Abstract mixed-media editorial collage of balanced stone shapes, torn parchment, kinetic charcoal marks, and a rising burst of ember-orange light moving across the composition","/assets/images/workbook_17_balance_igniting_to_fire_1.png"
11,workbook_16_soul_balancing_through_harmony_1,"Mixed-media collage of willow-like botanical tracery, circular harmony diagrams, aged ivory paper, translucent washes, and quiet gold accents in a serene archival composition","/assets/images/workbook_16_soul_balancing_through_harmony_1.png"
13,workbook_15_gut_flowing_to_soul_1,"Abstract collage of flowing water stains, dark sand textures, torn manuscript edges, botanical fragments, and soft lunar overlays suggesting practical form dissolving into spirit","/assets/images/workbook_15_gut_flowing_to_soul_1.png"
76,workbook_08_depth_to_root_1,"Dark academic collage of deep water textures, rooted branching forms, weathered paper, mineral stains, and subtle earth-toned geometry grounding the composition","/assets/images/workbook_08_depth_to_root_1.png"
