title
WB 01 — From Fire to Balance | Aries New Moon → Libra Full Moon | Fire to Air
WB 02 — From Balance to Root | Libra Full Moon → Taurus New Moon | Air to Earth
WB 03 — From Root to Depth | Taurus New Moon → Scorpio Full Moon | Earth to Water
WB 04 — From Depth to Voice | Scorpio Full Moon → Gemini New Moon | Water to Air
WB 05 — From Voice to Vision | Gemini New Moon → Sagittarius Full Moon | Air to Fire
WB 06 — From Vision to Womb | Sagittarius Full Moon → Cancer New Moon | Fire to Water
WB 07 — From Womb to Bone | Cancer New Moon → Capricorn Full Moon | Water to Earth
WB 08 — From Bone to Heart | Capricorn Full Moon → Leo New Moon | Earth to Fire
WB 09 — From Heart to Mind (Eclipse Portal 2026) | Leo New Moon → Aquarius Full Moon | Fire to Air
WB 10 — From Mind to Gut | Aquarius Full Moon → Virgo New Moon | Air to Earth
WB 11 — From Gut to Soul | Virgo New Moon → Pisces Full Moon | Earth to Water
WB 12 — From Soul to Balance | Pisces Full Moon → Libra New Moon | Water to Air
WB 13 — From Balance to Fire | Libra New Moon → Aries Full Moon | Air to Fire
WB 14 — From Fire to Depth | Aries Full Moon → Scorpio New Moon | Fire to Water
WB 15 — From Depth to Root | Scorpio New Moon → Taurus Full Moon | Water to Earth
WB 16 — From Root to Vision | Taurus Full Moon → Sagittarius New Moon | Earth to Fire
WB 17 — From Vision to Voice | Sagittarius New Moon → Gemini Full Moon | Fire to Air
WB 18 — From Voice to Bone | Gemini Full Moon → Capricorn New Moon | Air to Earth
WB 19 — From Bone to Womb | Capricorn New Moon → Cancer Full Moon | Earth to Water
WB 20 — From Womb to Mind | Cancer Full Moon → Aquarius New Moon | Water to Air
WB 21 — From Mind to Heart | Aquarius New Moon → Leo Full Moon | Air to Fire
WB 22 — From Heart to Soul | Leo Full Moon → Pisces New Moon | Fire to Water
WB 23 — From Soul to Gut | Pisces New Moon → Virgo Full Moon | Water to Earth
WB 24 — From Gut to Fire | Virgo Full Moon → Aries New Moon | Earth to Fire
